#{"t_start": 1763241969.2923694, "env_id": "LunarLander-v3"}
r,l,t
123.764159,1000,61.141279
161.177746,1000,61.768374
-79.418646,148,61.831377
39.882332,162,61.900372
2.817511,248,62.196308
-15.640374,179,62.293701
8.726232,199,62.391617
-59.421283,188,62.474622
-11.777396,233,62.582
-6.209385,203,62.856475
-0.870006,171,62.938475
7.275869,177,63.022474
-24.596582,217,63.117475
-29.93418,198,63.213373
49.179438,1000,63.869829
-33.748478,242,64.15379
-108.692255,119,64.215207
-37.80651,210,64.321605
-9.121185,206,64.407597
-51.155082,214,64.499597
54.316963,193,64.743597
32.605494,254,64.869601
-69.212169,287,65.002604
3.118443,204,65.984458
-53.507817,192,66.071457
23.15782,161,66.310451
16.055252,253,66.43145
-67.253074,233,66.535524
55.938497,197,66.619458
2.436363,261,66.886451
-75.729271,260,67.012454
-102.609541,304,67.148453
-91.718334,208,67.236453
-61.941387,324,67.55443
-73.000303,255,67.68293
-116.267104,630,67.964931
123.066178,1000,68.613767
-34.653929,343,68.932763
-70.353865,332,69.085767
52.008431,1000,69.714314
34.163061,324,69.851953
-110.40147,284,70.141949
59.305403,1000,70.793278
71.218498,1000,71.427271
-12.446966,274,71.556541
-62.404136,246,71.66754
-63.583192,265,71.78054
-72.625529,396,72.130728
56.674166,1000,72.756793
26.585432,197,72.850795
-113.311846,229,72.947801
-21.397683,292,73.070794
7.535799,400,73.421993
-100.714758,250,73.539062
-76.67316,305,73.668001
-1.790306,351,73.995139
-43.852789,252,74.113696
-65.190814,265,74.227213
79.639935,1000,74.844434
-116.527845,313,74.978443
53.490117,1000,75.600442
116.828975,1000,76.226551
-94.915632,340,76.563892
-131.459614,294,76.693903
61.64316,1000,77.312093
21.671041,137,77.371093
-42.158526,267,77.488093
110.949911,1000,78.132098
22.521868,1000,78.766622
-12.548404,1000,79.40141
74.957476,1000,80.024426
-108.002241,372,80.346425
-100.343646,202,80.443425
-68.729637,266,80.561327
-137.188086,206,80.654527
-73.092837,262,80.940504
16.185816,230,81.057505
100.034967,1000,82.150613
-23.554841,251,82.258614
-192.669457,319,82.395609
120.39974,1000,83.038546
42.286442,1000,83.685447
-56.595466,294,83.979429
-77.453434,321,84.131432
-221.704416,539,84.365438
67.985193,1000,85.000009
-35.963978,145,85.236001
74.806072,1000,85.878101
112.165606,1000,86.509099
151.589577,320,86.663102
135.907653,361,86.823106
6.526691,233,86.9211
207.31803,299,87.222639
-14.325033,198,87.315642
1.501896,224,87.412645
149.434401,801,87.956638
128.78339,558,88.200638
114.7852,1000,88.823646
0.726266,295,89.114641
125.792124,1000,89.746211
-111.400184,295,89.897217
67.84016,1000,90.513212
9.170512,281,90.632212
-17.879136,270,90.917206
-62.564458,151,90.992203
-30.274103,296,91.132213
-53.211808,309,91.263212
-33.061731,281,91.540558
-155.419238,184,91.631594
-183.369284,387,91.809595
-99.882265,186,91.887602
-97.903719,526,92.278597
57.53177,1000,92.892594
6.964535,1000,93.525155
119.432789,644,93.811073
94.859774,851,94.360078
-95.391574,236,94.459063
40.068282,1000,95.098074
77.282087,1000,95.724481
-1.424404,279,96.06751
-35.100832,306,96.218905
-115.297235,455,96.419903
-81.460928,202,96.669441
102.475178,1000,97.299442
-84.756441,408,97.49148
131.321981,1000,98.595518
-3.206795,282,98.716436
-109.724074,220,98.809431
-19.145963,189,99.053431
-48.894411,257,99.181434
203.277435,845,99.741926
-19.73569,231,99.853005
64.824238,1000,100.48437
98.314486,1000,101.156937
-80.579733,193,101.254677
-206.729494,350,101.405671
8.687928,231,101.662734
-54.452326,237,101.773731
42.652472,1000,102.423853
-24.908813,184,102.50886
205.354211,503,102.728866
-33.77938,232,103.01985
114.894437,1000,103.648855
86.074432,1000,104.284662
-10.976404,214,104.388797
122.41343,1000,105.00916
5.387397,178,105.088154
53.31667,141,105.149154
28.349638,151,105.215162
-30.244157,150,105.281216
-37.993292,197,105.544164
18.036317,197,105.637154
14.368047,203,105.725217
-3.0444,153,105.791162
9.504927,239,105.89416
40.279885,128,106.110944
156.931405,1000,106.749153
75.686909,1000,107.40415
-48.192015,254,107.529151
191.618403,594,107.797413
24.325355,211,108.052343
22.624932,230,108.170341
-16.514771,189,108.257351
99.196156,1000,108.89978
21.057816,230,108.99678
17.031507,234,109.095781
144.355332,1000,109.73278
-9.914931,160,109.961773
116.489364,1000,110.428775
120.700544,1000,111.099821
-58.049149,232,111.400645
115.418784,1000,112.011647
-77.10293,319,112.167654
-80.544906,322,112.305646
-112.052176,260,112.582942
-52.725566,251,112.707942
-17.251846,314,112.846017
23.268816,246,112.950944
-70.111059,280,113.246749
75.540909,1000,114.826592
143.139489,1000,115.460044
13.891502,1000,116.086041
-91.68,334,116.245132
-19.865814,229,116.349192
-62.507735,272,116.465135
-56.12005,254,116.741214
172.740622,1000,117.386112
-35.444471,286,117.524623
112.901477,1000,118.13562
-12.244489,261,118.251628
-63.289466,280,118.370628
-57.339249,220,118.63562
101.517915,1000,119.29602
72.439793,1000,119.951105
20.818764,265,120.077098
151.289376,1000,120.728784
119.026992,1000,121.351787
-84.965768,247,121.462787
-137.222829,300,121.591787
36.926305,349,121.91521
4.653939,349,122.075219
109.485476,1000,122.705309
103.104611,1000,123.317311
-72.81997,218,123.412307
86.126085,1000,124.069025
-76.001335,179,124.14601
111.853286,1000,124.771953
134.064673,1000,125.398016
143.31201,1000,126.049869
181.638359,654,126.519095
124.400588,1000,127.153435
75.481347,1000,127.781435
101.387517,1000,128.407886
87.864634,992,129.020885
84.094356,1000,129.630884
-131.709732,506,129.852891
66.704003,1000,131.136479
89.657142,1000,131.761476
-163.267011,997,132.391554
-46.791443,1000,133.011739
9.151631,343,133.15574
-58.93728,408,133.502737
19.098387,1000,134.112452
80.635717,1000,134.745063
83.436107,1000,135.358063
118.15868,1000,135.986059
51.353434,1000,136.615056
86.954382,1000,137.244014
-47.318652,282,137.379016
-35.870752,355,137.527021
129.438871,1000,138.137221
-105.578225,419,138.502328
106.016436,1000,139.136464
156.620164,627,139.422467
-99.457288,370,139.756472
114.947226,1000,140.387243
-47.94292,414,140.577252
-45.257061,363,140.73425
165.658266,480,141.14472
-20.898623,427,141.329428
134.824018,1000,141.961434
-64.767427,465,142.322426
88.324282,1000,142.949429
77.256262,1000,143.590292
127.510972,1000,144.209293
93.267213,1000,144.851295
147.148731,1000,145.474468
87.168615,1000,146.101034
117.631818,1000,148.272567
119.980577,1000,148.91156
113.061243,1000,149.527561
187.20571,995,149.996267
102.442325,1000,150.627264
-36.747402,282,150.927256
106.704825,1000,151.561261
-95.47243,447,151.761327
140.388288,684,152.235905
21.142839,386,152.409911
132.906978,1000,153.025965
-55.6701,452,153.379905
194.808521,545,153.628908
110.915062,1000,154.254212
71.246597,1000,154.869218
-36.315157,446,155.229213
-48.933656,285,155.40047
-20.357963,530,155.633476
95.068381,1000,156.263876
51.833432,1000,156.879552
-37.291197,372,157.207548
42.913052,1000,157.837548
93.028409,1000,158.469203
158.246777,742,158.80741
108.461163,1000,159.432411
56.280221,1000,160.066502
105.018729,1000,160.696501
164.41171,482,161.076522
136.223561,701,161.388527
67.832316,1000,162.015602
18.92946,1000,162.650326
-64.52838,491,163.044615
107.381137,1000,165.023821
239.323493,387,165.193818
104.475174,1000,165.820817
40.901014,1000,166.435817
73.807945,1000,167.063812
-94.564317,412,167.400334
-140.486831,832,167.780339
-106.940412,439,168.140331
48.805097,1000,168.764609
-32.655898,359,168.922616
84.597073,1000,169.576485
-43.74232,428,169.758419
-62.84803,436,170.120422
